"Region","Year","Under.five.population","Infant.population","Population.coverage..under.5.","Population.coverage..age.0.","U5MR.median","IMR.median","CMR.median","Under.five.deaths.median","Infant.deaths.median","Child.deaths.median"
"Central Asia",2013,13028196,6300840,100,100,7.91771399247176,3.22372994824523,4.70916512085782,10411,4070,6341
"Southern Asia",2013,351899172,180395643,100,100,12.3827260639099,5.29381160270936,7.12664155897381,436218,191307,244911
"Eastern and South-Eastern Asia",2013,336857889,155948374,100,100,6.27317686864703,2.76231929329015,3.52058254845415,213826,86260,127566
"Eastern Asia",2013,225189644,99740844,100,100,4.36433066552122,1.67348912384587,2.6953521842405,101115,33405,67710
"South-Eastern Asia",2013,111668245,56207530,100,100,10.0509697100182,4.69154161125132,5.38469059877473,112711,52855,59856
"Northern Africa and Western Asia",2013,87474329,43733356,100,100,10.8001250369411,4.75550766464334,6.07349994785091,93955,41491,52464
"Western Asia",2013,46146482,22868547,100,100,10.3918818132597,4.48844108075204,5.93005744595917,47321,20397,26924
"Northern Africa",2013,41327847,20864809,100,100,11.2533055547814,5.04813970948349,6.23664932239648,46634,21094,25540
"Sub-Saharan Africa",2013,183547210,98659974,100,100,23.2857972712054,10.0241078401823,13.3959720999772,427830,198821,229009
"Oceania",2013,5819329,2864674,100,100,8.0580352698737,3.66211150171311,4.41208130184259,4740,2112,2628
"Oceania (exc. Australia and New Zealand)",2013,2104518,1092885,100,100,15.3249309993621,6.83001559322652,8.55333481630508,3244,1503,1741
"Australia and New Zealand",2013,3714811,1771789,100,100,3.94832522677535,1.70304049119748,2.24911506961075,1496,609,887
"Europe, Northern America, Australia and New Zealand",2013,139205723,64487987,100,100,5.69754209038753,2.05577899024235,3.6492651828379,81431,26624,54806
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",2013,113772763,57300415,100,100,10.1481617145436,4.73237143326731,5.44154167766455,115955,54358,61597
"World",2013,1221855727,605185859,100,100,11.4432675014249,5.0238196504011,6.45186083627465,1406383,609251,797132
"Least developed countries",2014,188192202,101340350,100,100,21.2716267421382,9.45031510912396,11.9340925683263,400079,192254,207825
"Landlocked developing countries",2014,94360238,50079836,100,100,21.2359300659235,9.31012293166376,12.0378812888962,199789,93414,106375
"Small island developing States",2014,11234654,5602801,100,100,12.919113983656,5.40141387281375,7.55852684258771,14599,6068,8531
"Europe and Northern America",2014,133130668,62037425,100,100,5.63104216970456,2.02952448449064,3.60884191824761,76835,25285,51549
"Northern America",2014,48545517,23149052,100,100,6.40552876318701,2.2737472119952,4.14119758766105,31780,10597,21183
"Europe",2014,84585151,38888373,99.99,99.99,5.19071047285846,1.8841098145062,3.31284241726464,45055,14688,30366
"Latin America and the Caribbean",2014,107880432,54545334,100,100,12.8464347441281,5.39157147158051,7.495274581151,139058,58927,80131
"Central and Southern Asia",2014,366958954,187766492,100,100,11.8337553442662,5.07283216533745,6.79539507765481,434802,190827,243975
"Central Asia",2014,12834861,6137482,100,100,7.75544372894299,3.21601101739981,4.55407867874811,10064,3958,6106
"Southern Asia",2014,354124093,181629010,100,100,11.9824880163896,5.13551626639466,6.88231599574155,424738,186869,237869
"Eastern and South-Eastern Asia",2014,327993268,153041286,100,100,6.20542000864954,2.7076565191228,3.50725994478057,205849,82973,122876
"Eastern Asia",2014,216346121,97173105,100,100,4.27469608921627,1.6196091262419,2.65939414199703,94946,31495,63451
"South-Eastern Asia",2014,111647147,55868181,100,100,9.88920196371978,4.5973081884169,5.31633460390983,110903,51478,59425
"Northern Africa and Western Asia",2014,87709624,43916430,100,100,10.5848925597645,4.6884772807854,5.92419071254188,92738,41165,51573
"Western Asia",2014,46265016,22967132,100,100,9.91639778819431,4.3554277557921,5.58529638731182,45557,19937,25620
"Northern Africa",2014,41444608,20949298,100,100,11.3308808917972,5.0534783808043,6.30928635317704,47181,21228,25953
"Sub-Saharan Africa",2014,188315294,101286877,100,100,23.502154806299,10.0695080635633,13.5692827447508,442044,204842,237202
"Oceania",2014,5881238,2887212,100,100,7.95482596879582,3.61804694956118,4.35252666505808,4729,2101,2628
"Oceania (exc. Australia and New Zealand)",2014,2142684,1112453,100,100,15.1459134655407,6.75045835477847,8.45251345080507,3261,1509,1752
"Australia and New Zealand",2014,3738554,1774759,100,100,3.84081097548516,1.64956672131443,2.19486483015231,1468,592,876
"Europe, Northern America, Australia and New Zealand",2014,136869222,63812184,100,100,5.5826080045005,2.01895861000211,3.57085881063928,78303,25877,52425
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",2014,113789831,56980634,100,100,9.98775753662873,4.63938941944319,5.37329693412923,114164,52987,61177
"World",2014,1217869478,605481056,100,100,11.40495878076,4.99625813798676,6.44088094661856,1396057,606121,789936
"Least developed countries",2015,192862814,103790659,100,100,20.9896444305945,9.37127736428238,11.7282759936535,405109,195259,209850
"Landlocked developing countries",2015,96088824,50944247,100,100,20.6403487180081,9.16921162912469,11.5772917268188,198282,93631,104651
"Small island developing States",2015,11253615,5621783,100,100,12.8502239353381,5.36287866127789,7.52771549887721,14538,6044,8494
"Europe and Northern America",2015,130848737,61683223,100,100,5.45575494161299,1.98550807473693,3.47715077782251,72994,24622,48371
