"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Oceania (exc. Australia and New Zealand)","1962","555711","294965","0","0",,,,,,
"Australia and New Zealand","1962","1964167","1079273","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1962","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1962","0","0","NaN","NaN",,,,,,
"World","1962","515677728","267144595","2.7","2.9",,,,,,
"Least developed countries","1963","48425977","26063104","32.51","32.32",,,,,,
"Landlocked developing countries","1963","24493974","12888813","7.43","7.63",,,,,,
"Small island developing States","1963","4856669","2605721","0.83","0.78",,,,,,
"Europe and Northern America","1963","121777693","62035557","0","0",,,,,,
"Northern America","1963","30956162","17258101","0","0",,,,,,
"Europe","1963","90821531","44777456","0","0",,,,,,
"Latin America and the Caribbean","1963","42466811","23114963","0","0",,,,,,
"Central and Southern Asia","1963","112277199","59179753","17.68","17.89",,,,,,
"Central Asia","1963","3561440","1625551","0","0",,,,,,
"Southern Asia","1963","108715760","57554202","18.26","18.39",,,,,,
"Eastern and South-Eastern Asia","1963","179884910","95477850","9.75","9.35",,,,,,
"Eastern Asia","1963","139410997","74251484","0","0",,,,,,
"South-Eastern Asia","1963","40473913","21226366","43.35","42.06",,,,,,
"Northern Africa and Western Asia","1963","23647805","12765106","0","0",,,,,,
"Western Asia","1963","12021468","6335836","0","0",,,,,,
"Northern Africa","1963","11626337","6429270","0","0",,,,,,
"Sub-Saharan Africa","1963","43581398","23488082","12.43","12.45",,,,,,
"Oceania","1963","2630962","1450350","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1963","567339","302359","0","0",,,,,,
"Australia and New Zealand","1963","2063624","1147991","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1963","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1963","0","0","NaN","NaN",,,,,,
"World","1963","526266777","277511659","8.1","8.1",,,,,,
"Least developed countries","1964","49468472","26580353","32.37","31.99",,,,,,
"Landlocked developing countries","1964","25016348","13436295","7.37","7.35",,,,,,
"Small island developing States","1964","4952353","2675752","0.8","0.74",,,,,,
"Europe and Northern America","1964","123640698","65649363","0","0",,,,,,
"Northern America","1964","32420973","18046762","0","0",,,,,,
"Europe","1964","91219725","47602601","0","0",,,,,,
"Latin America and the Caribbean","1964","43898171","24013010","0","0",,,,,,
"Central and Southern Asia","1964","114677961","61085221","17.54","17.38",,,,,,
"Central Asia","1964","3592620","1844576","0","0",,,,,,
"Southern Asia","1964","111085341","59240645","18.1","17.92",,,,,,
"Eastern and South-Eastern Asia","1964","185150467","100223564","9.51","8.93",,,,,,
"Eastern Asia","1964","143855017","78331846","0","0",,,,,,
"South-Eastern Asia","1964","41295451","21891719","42.65","40.87",,,,,,
"Northern Africa and Western Asia","1964","24303566","13308740","0","0",,,,,,
"Western Asia","1964","12321908","6617051","0","0",,,,,,
"Northern Africa","1964","11981658","6691689","0","0",,,,,,
"Sub-Saharan Africa","1964","44588247","23983159","33.13","32.7",,,,,,
"Oceania","1964","2739538","1513254","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1964","580450","310301","0","0",,,,,,
"Australia and New Zealand","1964","2159088","1202953","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1964","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1964","0","0","NaN","NaN",,,,,,
"World","1964","538998646","289776310","9.7","9.5",,,,,,
"Least developed countries","1965","50611981","27142285","32.25","31.7",,,,,,
"Landlocked developing countries","1965","25678291","14047941","7.32","7.12",,,,,,
"Small island developing States","1965","5059522","2751372","0.78","0.72",,,,,,
"Europe and Northern America","1965","125749635","69397741","0","0",,,,,,
"Northern America","1965","33881825","18905027","0","0",,,,,,
"Europe","1965","91867810","50492714","0","0",,,,,,
"Latin America and the Caribbean","1965","45436683","24978823","0","0",,,,,,
"Central and Southern Asia","1965","117989055","63668410","17.28","16.73",,,,,,
"Central Asia","1965","3718792","2107825","0","0",,,,,,
"Southern Asia","1965","114270263","61560585","17.84","17.3",,,,,,
"Eastern and South-Eastern Asia","1965","191608689","106168378","9.21","8.46",,,,,,
"Eastern Asia","1965","149280287","83419352","0","0",,,,,,
