"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Sub-Saharan Africa","1957","25605786","13690991","8.67","8.58",,,,,,
"Oceania","1957","1522451","823677","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1957","358815","196511","0","0",,,,,,
"Australia and New Zealand","1957","1163636","627166","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1957","68120072","37753127","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1957","23828597","13150828","0","0",,,,,,
"World","1957","312916200","174062820","0.7","0.7",,,,,,
"Least developed countries","1958","29160347","15621609","8.43","8.34",,,,,,
"Landlocked developing countries","1958","14901826","8264415","1.29","1.3",,,,,,
"Small island developing States","1958","3036679","1645371","0.88","0.9",,,,,,
"Europe and Northern America","1958","69185757","37647784","0","0",,,,,,
"Northern America","1958","18637146","9973190","0","0",,,,,,
"Europe","1958","50548611","27674594","0","0",,,,,,
"Latin America and the Caribbean","1958","26344921","14483692","0","0",,,,,,
"Central and Southern Asia","1958","69694182","38837405","0","0",,,,,,
"Central Asia","1958","2200239","1381348","0","0",,,,,,
"Southern Asia","1958","67493943","37456057","0","0",,,,,,
"Eastern and South-Eastern Asia","1958","116720585","66326685","0","0",,,,,,
"Eastern Asia","1958","92329216","52705488","0","0",,,,,,
"South-Eastern Asia","1958","24391369","13621197","0","0",,,,,,
"Northern Africa and Western Asia","1958","15209192","8491203","0","0",,,,,,
"Western Asia","1958","7445712","4132319","0","0",,,,,,
"Northern Africa","1958","7763480","4358884","0","0",,,,,,
"Sub-Saharan Africa","1958","26195140","14016778","9.4","9.32",,,,,,
"Oceania","1958","1578312","839208","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1958","370896","203310","0","0",,,,,,
"Australia and New Zealand","1958","1207416","635898","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1958","70393172","38283681","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1958","24762265","13824507","0","0",,,,,,
"World","1958","324928087","180642753","0.8","0.7",,,,,,
"Least developed countries","1959","29882059","16097324","10.28","10.07",,,,,,
"Landlocked developing countries","1959","15437386","8535796","4.92","4.63",,,,,,
"Small island developing States","1959","3125392","1695683","0.88","0.92",,,,,,
"Europe and Northern America","1959","71572328","38116596","0","0",,,,,,
"Northern America","1959","19238179","10207402","0","0",,,,,,
"Europe","1959","52334150","27909195","0","0",,,,,,
"Latin America and the Caribbean","1959","27265162","14958042","0","0",,,,,,
"Central and Southern Asia","1959","72416572","40525279","0","0",,,,,,
"Central Asia","1959","2397648","1472765","0","0",,,,,,
"Southern Asia","1959","70018924","39052514","0","0",,,,,,
"Eastern and South-Eastern Asia","1959","121781436","68973641","0","0",,,,,,
"Eastern Asia","1959","96367416","54694712","0","0",,,,,,
"South-Eastern Asia","1959","25414020","14278929","0","0",,,,,,
"Northern Africa and Western Asia","1959","15883075","8839920","0","0",,,,,,
"Western Asia","1959","7786417","4310320","0","0",,,,,,
"Northern Africa","1959","8096658","4529600","0","0",,,,,,
"Sub-Saharan Africa","1959","26813712","14397094","11.47","11.27",,,,,,
"Oceania","1959","1629397","857116","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1959","383762","210625","0","0",,,,,,
"Australia and New Zealand","1959","1245635","646492","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1959","72817963","38763088","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1959","25797782","14489554","0","0",,,,,,
"World","1959","337361681","186667686","0.9","0.9",,,,,,
"Least developed countries","1960","30651086","16593590","10.2","10.03",,,,,,
"Landlocked developing countries","1960","16001459","8801045","4.8","4.61",,,,,,
"Small island developing States","1960","3214612","1747823","0.88","0.93",,,,,,
"Europe and Northern America","1960","73937150","38547096","0","0",,,,,,
"Northern America","1960","19938937","10488288","0","0",,,,,,
"Europe","1960","53998214","28058808","0","0",,,,,,
"Latin America and the Caribbean","1960","28217277","15430672","0","0",,,,,,
"Central and Southern Asia","1960","75276969","41973532","0","0",,,,,,
"Central Asia","1960","2603182","1550913","0","0",,,,,,
"Southern Asia","1960","72673787","40422620","0","0",,,,,,
"Eastern and South-Eastern Asia","1960","126843435","71161048","0","0",,,,,,
"Eastern Asia","1960","100324370","56256950","0","0",,,,,,
"South-Eastern Asia","1960","26519065","14904099","0","0",,,,,,
"Northern Africa and Western Asia","1960","16563256","9177883","0","0",,,,,,
"Western Asia","1960","8134762","4486912","0","0",,,,,,
"Northern Africa","1960","8428494","4690971","0","0",,,,,,
"Sub-Saharan Africa","1960","27463473","14812452","11.41","11.26",,,,,,
"Oceania","1960","1677211","875796","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1960","397100","218765","0","0",,,,,,
