"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1958","24490991","13502268","0","0",,,,,,
"World","1958","311815639","173705317","0.8","0.8",,,,,,
"Least developed countries","1959","29516053","15928516","10.49","10.24",,,,,,
"Landlocked developing countries","1959","15328189","8470028","4.87","4.66",,,,,,
"Small island developing States","1959","3032709","1652149","0.89","0.92",,,,,,
"Europe and Northern America","1959","69308010","36855525","0","0",,,,,,
"Northern America","1959","18838995","10016595","0","0",,,,,,
"Europe","1959","50469015","26838930","0","0",,,,,,
"Latin America and the Caribbean","1959","26823422","14731499","0","0",,,,,,
"Central and Southern Asia","1959","68368955","38089153","0","0",,,,,,
"Central Asia","1959","2311858","1431712","0","0",,,,,,
"Southern Asia","1959","66057097","36657442","0","0",,,,,,
"Eastern and South-Eastern Asia","1959","115923724","66193817","0","0",,,,,,
"Eastern Asia","1959","90856924","52280298","0","0",,,,,,
"South-Eastern Asia","1959","25066801","13913520","0","0",,,,,,
"Northern Africa and Western Asia","1959","15106556","8456513","0","0",,,,,,
"Western Asia","1959","7335917","4107026","0","0",,,,,,
"Northern Africa","1959","7770639","4349487","0","0",,,,,,
"Sub-Saharan Africa","1959","26796352","14473802","11.57","11.28",,,,,,
"Oceania","1959","1544294","819141","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1959","353397","199596","0","0",,,,,,
"Australia and New Zealand","1959","1190897","619546","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1959","70498907","37475070","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1959","25420197","14113115","0","0",,,,,,
"World","1959","323871311","179619449","1","0.9",,,,,,
"Least developed countries","1960","30279292","16409986","10.4","10.19",,,,,,
"Landlocked developing countries","1960","15894259","8726136","4.77","4.65",,,,,,
"Small island developing States","1960","3121902","1701414","0.89","0.94",,,,,,
"Europe and Northern America","1960","71572182","37278971","0","0",,,,,,
"Northern America","1960","19546453","10304440","0","0",,,,,,
"Europe","1960","52025730","26974531","0","0",,,,,,
"Latin America and the Caribbean","1960","27785435","15195026","0","0",,,,,,
"Central and Southern Asia","1960","70937744","39442579","0","0",,,,,,
"Central Asia","1960","2518970","1505166","0","0",,,,,,
"Southern Asia","1960","68418775","37937414","0","0",,,,,,
"Eastern and South-Eastern Asia","1960","120985685","68309742","0","0",,,,,,
"Eastern Asia","1960","94921450","53804798","0","0",,,,,,
"South-Eastern Asia","1960","26064235","14504945","0","0",,,,,,
"Northern Africa and Western Asia","1960","15760337","8788229","0","0",,,,,,
"Western Asia","1960","7674470","4275213","0","0",,,,,,
"Northern Africa","1960","8085867","4513016","0","0",,,,,,
"Sub-Saharan Africa","1960","27479748","14898317","11.48","11.24",,,,,,
"Oceania","1960","1591030","836644","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1960","367794","207220","0","0",,,,,,
"Australia and New Zealand","1960","1223236","629424","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1960","72795418","37908395","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1960","26432028","14712165","0","0",,,,,,
"World","1960","336112159","184749506","0.9","0.9",,,,,,
"Least developed countries","1961","31072978","16894776","10.32","10.15",,,,,,
"Landlocked developing countries","1961","16450618","8985186","4.69","4.62",,,,,,
"Small island developing States","1961","3212029","1751147","0.89","0.95",,,,,,
"Europe and Northern America","1961","73260285","37732714","0","0",,,,,,
"Northern America","1961","20155507","10598746","0","0",,,,,,
"Europe","1961","53104778","27133968","0","0",,,,,,
"Latin America and the Caribbean","1961","28763819","15668169","0","0",,,,,,
"Central and Southern Asia","1961","73574486","40752476","0","0",,,,,,
"Central Asia","1961","2715314","1574845","0","0",,,,,,
"Southern Asia","1961","70859172","39177632","0","0",,,,,,
