"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","Under-five deaths median","Infant deaths median"
"Lower middle income","1984","114988083","25375614","99.95","99.95","148.112374518049","91.0246620805367","3909421","2440891"
"Upper middle income","1984","108451937","22296454","99.89","99.88","62.5106751870163","48.5800432815502","1435557","1118090"
"High income","1984","39737516","7949217","99.99","99.99","15.6444964347056","12.8815007058629","125647","103415"
"Low and middle income","1984","242356734","52007928","99.89","99.89","116.535554418044","74.7481129206806","6232624","4064766"
"World","1984","286957049","61059362","99.9","99.9","106.457351015142","68.444220063465","6645432","4339316"
"Low income","1985","19422951","4447022","100","100","193.885067270066","108.749123498083","893988","512053"
"Lower middle income","1985","117512892","25783850","100","100","144.362363836476","89.1066738411051","3874111","2423676"
"Upper middle income","1985","110004624","22869229","100","100","60.3484582465067","47.0987770040248","1417618","1111349"
"High income","1985","39603122","7902064","100","100","15.0112750737108","12.3649714309383","119960","98590"
"Low and middle income","1985","246940467","53100101","100","100","113.356028227028","72.9966464432103","6185717","4047078"
"World","1985","291490714","62138183","100","100","103.787776328216","66.9551187453303","6587520","4316390"
"Low income","1986","19927416","4558770","100","100","184.578610685751","104.095757376668","868472","502574"
"Lower middle income","1986","119875526","26151845","100","100","140.717392407306","87.2561002639613","3830998","2403756"
"Upper middle income","1986","111788470","23558822","100","100","58.0789146697794","45.6159045759074","1401201","1108746"
"High income","1986","39533232","7909843","100","100","14.5096813438536","11.9627297651371","115612","95076"
"Low and middle income","1986","251591412","54269437","100","100","109.51298410245","70.8596189738631","6100671","4015076"
"World","1986","296180575","63350141","100","100","100.585700780219","65.1724786128486","6499016","4282844"
"Low income","1987","20441536","4665831","100","100","184.200565971789","103.28258765474","888288","510366"
"Lower middle income","1987","122026183","26442810","100","100","137.291845356142","85.5136386298505","3781741","2378948"
"Upper middle income","1987","113553666","24295157","100","100","56.395058514166","44.5107973562434","1395508","1112809"
"High income","1987","39540863","7929811","100","100","14.015632378076","11.5378737138348","111727","91954"
"Low and middle income","1987","256021384","55403797","100","100","106.744437163675","69.3109979692367","6065537","4002123"
"World","1987","300791652","64550802","100","100","96.9784567111073","63.1567283667214","6379230","4223222"
"Low income","1988","20923275","4758179","100","100","209.682813145926","116.689562157856","1043736","589437"
"Lower middle income","1988","123908163","26670115","100","100","133.758804578595","83.6258658645498","3719705","2344286"
"Upper middle income","1988","115390564","24330319","100","100","55.3531217996229","43.8266031134989","1372100","1093360"
"High income","1988","39511064","7904144","100","100","13.455053333159","11.0691164072974","107428","88447"
"Low and middle income","1988","260222002","55758613","100","100","107.164566323306","69.6804877998054","6135541","4027083"
"World","1988","305199998","64928774","100","100","97.332447562867","63.3966543908133","6449201","4246970"
"Low income","1989","21431262","4862434","100","100","174.166426676807","99.4716195900152","873668","510718"
"Lower middle income","1989","125594562","26959413","100","100","130.392634765828","81.8599809388535","3662575","2317708"
