"Region","Year","Under.five.population","Infant.population","Population.coverage..under.5.","Population.coverage..age.0.","U5MR.median","IMR.median","Under.five.deaths.median","Infant.deaths.median"
"World",1976,278247790,57867863,98.3,98.2,135.00704597207,93.0832428163473,8134894,5631449
"Low income",1977,16072258,3700465,97.04,96.99,231.47344159958,136.223319934927,902281,542661
"Lower middle income",1977,103179774,22993285,97.66,97.66,179.865517171418,119.10539241215,4388442,2934374
"Upper middle income",1977,111950345,21801524,98.73,98.62,95.8013288864463,75.343858297871,2192222,1698476
"High income",1977,42151480,8395709,99.42,99.4,25.8549779961458,21.5602282227999,219373,182544
"Low and middle income",1977,231202376,48495274,98.13,98.04,147.147253278301,101.453008092807,7482966,5175518
"World",1977,277664056,57889011,98.4,98.3,131.751884099304,91.0386341788958,7929597,5504897
"Low income",1978,16483698,3808497,96.87,96.83,227.736096062205,134.321265974087,910203,549570
"Lower middle income",1978,105396527,23413767,98.19,98.19,174.913081720271,116.369328365775,4336415,2913113
"Upper middle income",1978,109149843,21515971,98.85,98.8,91.8707480651253,72.3978385531169,2071718,1617566
"High income",1978,41821557,8371064,99.41,99.4,24.7285860056348,20.5924197462894,209294,174031
"Low and middle income",1978,231030067,48738235,98.41,98.35,143.463314034421,98.857739819316,7318365,5080254
"World",1978,277260903,58126872,98.6,98.5,128.625670942263,88.8919749544344,7760218,5404242
"Low income",1979,16968786,3939190,96.58,96.54,223.517839851642,132.143675472847,920605,559074
"Lower middle income",1979,107710252,23933330,99.29,99.24,169.493740306083,113.587832837888,4274541,2901000
"Upper middle income",1979,107335583,21913904,98.83,98.81,87.5315699495364,69.1089901379657,1996580,1576592
"High income",1979,41603504,8388141,99.4,99.39,23.7288474739377,19.7494116710788,201084,167231
"Low and middle income",1979,232014621,49786424,98.88,98.84,138.741356899245,95.8745944115927,7191724,5036657
"World",1979,278122451,59209472,99,98.9,124.692555989801,86.3850706920272,7628944,5355833
"Low income",1980,17420285,4056184,96.38,96.35,222.793669455312,131.945622805283,948602,577454
"Lower middle income",1980,110269179,24542468,99.96,99.95,165.245009482685,111.010686683031,4259812,2902435
"Upper middle income",1980,107022218,22474207,98.95,98.92,83.5431620227078,66.1601440857642,1938686,1543935
"High income",1980,41561420,8467116,99.4,99.4,22.7740367548925,18.93071158632,194137,161606
"Low and middle income",1980,234711682,51072859,99.23,99.21,134.979861636016,93.4272503160146,7147103,5023821
"World",1980,280838719,60584649,99.3,99.3,121.53585825478,84.3191151092398,7579518,5338673
"Low income",1981,17782918,4134394,96.39,96.36,221.527549097578,130.916801456614,969901,588542
"Lower middle income",1981,112985726,25146219,99.96,99.95,160.766178227204,108.375903575768,4238395,2900490
"Upper middle income",1981,107879851,22983289,99.03,99.01,79.5435241046978,63.255661450013,1881135,1508476
"High income",1981,41580606,8400545,99.99,99.99,21.9205211187919,18.224032432819,186631,155327
"Low and middle income",1981,238648494,52263902,99.27,99.25,131.033130538424,90.7798539576825,7089431,4997509
"World",1981,284915824,61734216,99.4,99.4,118.281119712858,82.1601068301351,7514207,5305820
"Low income",1982,18201787,4213540,96.42,96.38,219.640862768606,129.181894099119,984268,589930
"Lower middle income",1982,115770911,25693978,99.95,99.94,156.638653775888,105.966047176308,4216617,2893995
"Upper middle income",1982,110055153,23831944,99.42,99.45,75.8504319426314,60.4118226035993,1855163,1496262
"High income",1982,41612297,8358558,99.99,99.99,21.0744654681855,17.4953762046023,179481,149249
"Low and middle income",1982,244027851,53739461,99.45,99.44,126.900569800945,87.879476351199,7056060,4980192
"World",1982,290492874,63204897,99.5,99.5,114.918092288155,79.8010544906436,7475403,5284865
"Low income",1983,18726731,4319030,99.57,99.56,216.586373592025,127.320738945859,988719,591108
"Lower middle income",1983,118618246,26224635,99.95,99.94,152.539532322583,103.584429274201,4189589,2884010
"Upper middle income",1983,112429935,23801088,99.45,99.47,73.180013531312,58.7725608265117,1784271,1439215
"High income",1983,41709278,8412561,99.99,99.99,20.3213166834265,16.8692531001261,172781,143504
"Low and middle income",1983,249774912,54344753,99.7,99.7,123.962731700333,86.6985055279995,6962596,4914335
"World",1983,296437652,63883231,99.7,99.7,113.854061031352,79.46431016176,7473563,5266951
"Low income",1984,19264364,4434429,99.57,99.56,212.350277841694,124.664085537858,992975,592877
"Lower middle income",1984,121450122,26740087,99.95,99.94,148.657852302543,101.261131346247,4161820,2871126
"Upper middle income",1984,114141461,23554541,99.89,99.88,70.4077904727244,56.6020801076989,1716888,1383625
"High income",1984,41718188,8364506,99.99,99.99,19.5653673063096,16.2234392717695,165714,137353
"Low and middle income",1984,254855946,54729057,99.9,99.89,121.141313098806,84.2962212465283,6871700,4847632
"World",1984,301598660,64240155,99.9,99.9,111.436793255647,77.5318345568553,7373070,5195220
