"Region","Year","Under.five.population","Infant.population","Population.coverage..under.5.","Population.coverage..age.0.","U5MR.median","IMR.median","CMR.median","Under.five.deaths.median","Infant.deaths.median","Child.deaths.median"
"Adhoc",2013,6592186,3702306,100,100,25.9173074942624,11.1454213591075,14.9383806822816,33998,16624,17374
"World",2013,1221855727,605185859,100,100,11.4432675014249,5.0238196504011,6.45186083627465,2800254,1213468,1586787
"Adhoc",2014,6890040,3846622,100,100,31.5565746452069,13.2942116465351,18.5084178224458,43282,20604,22678
"World",2014,1217869478,605481056,100,100,11.40495878076,4.99625813798676,6.44088094661856,2779865,1207179,1572687
"Adhoc",2015,7234631,4012586,100,100,34.5239077771625,14.5043226592652,20.3142292535654,49825,23456,26369
"World",2015,1213644023,607253280,100,100,11.2831788272395,4.93407865756382,6.38058246544129,2737193,1195351,1541843
"Adhoc",2016,7464738,4112440,100,100,35.5233971900338,14.9334691323685,20.9020684516913,53000,24760,28240
"World",2016,1212127247,610157323,100,100,11.2100617538472,4.87485355225447,6.36624270244523,2713317,1186426,1526891
"Adhoc",2017,7711732,4222632,100,100,43.1568866286594,16.4515462680215,27.1520332926222,66094,27945,38149
"World",2017,1213873934,613328489,100,100,11.1301635160534,4.82460790806865,6.33612492641134,2696101,1180171,1515930
"Adhoc",2018,7956498,4333085,100,100,45.2002343544902,16.8686430084606,28.8177069570098,71457,29386,42071
"World",2018,1217357593,616826849,100,100,10.841286137515,4.68316088437031,6.18710043991269,2632114,1152091,1480023
"Adhoc",2019,8193358,4437703,100,100,42.9030740589291,16.2226449616707,27.1203936140804,69987,28947,41040
"World",2019,1222144282,620742261,100,100,10.7778414126199,4.63324488762133,6.17319846522794,2626385,1147146,1479239
"Adhoc",2020,8428731,4538741,100,100,41.2699536688212,15.7071490535325,25.9707307542752,69365,28663,40702
"World",2020,1227745229,624322207,100,100,10.5067438382381,4.50603273027182,6.02787290055002,2571028,1122052,1448975
"Adhoc",2021,8680817,4647496,100,100,44.9062703293115,16.4562781880318,28.9260065519677,77735,30714,47021
"World",2021,1234905766,628439278,100,100,10.5953733922755,4.52151139858231,6.10144976836881,2607727,1133399,1474327
"Adhoc",2022,8774530,4669103,100,100,28.6743019428311,12.0111221032109,16.8657565003084,50524,22601,27923
"World",2022,1243842535,634201746,100,100,10.8356191267006,4.58394442871465,6.28046399592986,2688120,1159900,1528219
"Adhoc",2023,8846058,4682982,100,100,28.1813834691651,11.6950821001557,16.6813916134738,50059,22062,27997
"World",2023,1254342087,641279188,100,100,10.5020990177553,4.41703728196971,6.11205892793987,2622804,1129715,1493089
"Adhoc",2024,9044332,4774532,100,100,27.7863044193476,11.4172498245242,16.5581025886987,50445,21948,28497
"World",2024,1265755718,649023947,100,100,10.3572237649999,4.31413323929348,6.06927418319845,2608021,1116481,1491540
