"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","NMR median","Under-five deaths median","Infant deaths median","Neonatal deaths median"
"World","2002","628915784","129758471","100","100","71.3084536139672","49.8966910356426","28.546929800731","9397000","6642458","3850830"
"Adhoc","2003","4595069","1002431","100","100","118.547496515675","100.837861029169","58.2389484192512","121205","103395","62166"
"World","2003","632373814","130206938","100","100","68.3337612151457","47.9972151118679","27.5951452682398","9030240","6404674","3731314"
"Adhoc","2004","4753520","1027932","100","100","113.944019411896","97.3627813123189","56.8315390344041","120521","103674","62167"
"World","2004","636440873","131140416","100","100","65.8396115356414","46.2626054856666","26.6539326330721","8753240","6210633","3627992"
"Adhoc","2005","4796759","1030934","100","100","109.329354079257","93.791288585041","55.3912282931171","117157","101149","60722"
"World","2005","639759300","131881732","100","100","62.3253632787156","44.1401841680636","25.7869436115584","8332940","5955815","3524992"
"Adhoc","2006","4935098","1055444","100","100","104.807773175688","90.2835707486462","53.9272668175941","113826","98594","60370"
"World","2006","643631640","133191690","100","100","59.5596029497798","42.3497189972677","24.9400890933779","8020452","5762993","3441436"
"Adhoc","2007","5028178","1071268","100","100","100.374320591923","86.7943855783983","52.4467817694136","111047","96476","59501"
"World","2007","648499453","134734906","100","100","56.9532821143093","40.6741437487683","24.137148734007","7748787","5594473","3365984"
"Adhoc","2008","4952264","1060720","100","100","96.0869144510174","83.4041354141807","50.9108746303443","106838","92961","57329"
"World","2008","654783226","136569284","100","100","54.6945389720355","39.1869846807539","23.3784843482398","7530711","5454571","3302719"
"Adhoc","2009","5085671","1093346","100","100","91.880708966742","80.0632513671524","49.4368416723862","103298","90225","57170"
"World","2009","661822876","137967088","100","100","52.9162645149192","37.9933195541921","22.739885938367","7353917","5337457","3240327"
"Adhoc","2010","5178168","1116095","100","100","87.9567152953438","76.920192612085","47.9600667446601","101132","88792","56581"
"World","2010","668734403","138611221","100","100","50.5893139465474","36.671987917835","22.1282981946114","7078370","5179381","3162468"
"Adhoc","2011","5263636","1137636","100","100","84.2932228716154","73.9725418269641","46.5383953019793","98754","87055","55900"
"World","2011","675340899","139176364","100","100","49.5123268258505","35.8696930115327","21.5464131601926","6954776","5084158","3090024"
"Adhoc","2012","5462345","1179371","100","100","80.8145093811917","71.172647894543","45.1786735828009","97116","86028","56111"
"World","2012","682560519","141224919","100","100","46.704903839067","34.0273762995441","20.7848996646933","6642498","4891280","3025246"
"Adhoc","2013","5611864","1209463","100","100","77.5974987280598","68.5872985593622","43.8979564694923","95929","85355","55859"
"World","2013","686845626","140738748","100","100","45.060275803806","33.0628410529103","20.3343104394258","6423318","4741303","2939573"
"Adhoc","2014","5751649","1236012","100","100","74.6140734121312","66.1745928669577","42.7010783916124","94378","84224","55455"
"World","2014","691041254","140959185","100","100","43.9156239852643","32.1125570420153","19.7282706194764","6267970","4615493","2857071"
"Adhoc","2015","5927883","1268026","100","100","71.898430064046","63.9966766602932","41.5445481726564","93060","83317","55262"
