"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","Under-five deaths median","Infant deaths median"
"Eastern Africa","1960","7704627","1741071","44.34","43.74",,,,
"Western Africa","1960","7333167","1669508","31.83","32.26",,,,
"Middle Africa","1960","2788567","626885","18.58","18.47",,,,
"Asia","1960","132375496","26179013","52.95","56.15","216.909416070701","153.030478115713",,"5071609"
"Eastern Asia","1960","55889406","9996910","10.44","11.2",,,,
"Central Asia","1960","1977153","431001","0","0",,,,
"Southern Asia","1960","49913746","10502518","94.33","94.33","239.016934263573","169.420461427655","3010088","2145702"
"South-Eastern Asia","1960","18944519","4066035","70.88","71.64","190.740482267246","131.935222269603","873913","613264"
"Western Asia","1960","5650672","1182549","66.28","64.33","233.031750283707","160.628934533322","330805","230540"
"Americas","1960","30421911","6392652","94.07","94.28","121.646636871197","91.0959712478862","829133","621267"
"Northern America","1960","11719876","2421465","100","100","33.984915840481","29.4135209003186","81622","70609"
"Latin America and the Caribbean","1960","18702035","3971187","90.35","90.79","172.38725826902","126.416211855197","766578","564601"
"Central America","1960","4891653","1034785","97.29","96.99","168.620026266561","118.912961614556","193818","138702"
"South America","1960","12419659","2648709","90.54","90.98","172.297924112535","128.985427580237","509767","381059"
"Caribbean","1960","1390723","287693","64.33","66.79","191.658842695449","133.362719873346",,"46060"
"Europe","1960","29205229","5939189","40.68","42.7",,,,
"Northern Europe","1960","3367593","760157","91.85","92.55","29.2112066408438","24.9995466305293","21078","18147"
"Southern Europe","1960","5653450","1193254","52.81","53.72","65.5985662255387","53.8962998322228","80794","66499"
"Eastern Europe","1960","13689774","2625919","16.65","16.24",,,,
"Western Europe","1960","6494412","1359859","54.23","56.24","32.4644310436998","27.2127218488572","45021","37978"
"Oceania","1960","961974","205239","97.15","97.17","75.5072545205293","54.8943664742638","16072","11725"
"Australia and New Zealand","1960","708455","150823","100","100","28.3384931604848","23.2377450716469","4135","3409"
"Melanesia","1960","222735","47868","100","100","186.438327140884","128.685098334792","11330","7879"
"Micronesia","1960","10790","2256","13.19","12.81",,,,
"Polynesia","1960","19994","4292","9.55","10.6",,,,
"Africa","1961","26150542","5820042","47.59","47.52",,,,
"Northern Africa","1961","6035348","1329748","93.88","93.87","260.661927612218","171.879843256436","395128","263258"
"Southern Africa","1961","1688674","355046","9.25","9.47",,,,
"Eastern Africa","1961","7971868","1788062","44.34","43.84",,,,
"Western Africa","1961","7582002","1705462","32.05","32.41",,,,
"Middle Africa","1961","2872650","641724","22.91","22.91",,,,
"Asia","1961","132371499","27114711","54.47","56.08","213.558718680954","151.194055904819","7190167","5130588"
"Eastern Asia","1961","54377604","10581601","10.79","10.97",,,,
"Central Asia","1961","2105521","454982","0","0",,,,
"Southern Asia","1961","50670475","10712323","95.93","96.01","236.325070749492","168.089495914868","3041499","2164935"
"South-Eastern Asia","1961","19472628","4154368","71.18","71.77","185.23743674795","128.394271943291","867703","609404"
"Western Asia","1961","5745271","1211437","65.56","64.26","223.947808448002","154.429466907582","324356","226223"
"Americas","1961","31015537","6488615","94.1","94.14","120.127672686845","89.3301887310741","820757","615825"
"Northern America","1961","11845717","2390991","100","100","33.2353059122223","28.7518549948327","79194","68369"
"Latin America and the Caribbean","1961","19169820","4097624","90.46","90.71","168.561350201847","122.900040593863","760605","561133"
"Central America","1961","5002054","1060314","97.18","96.98","162.577165647469","115.094807882997","191514","137584"
"South America","1961","12749117","2733878","90.71","91.19","169.418509736906","125.492370412582","505608","378282"
"Caribbean","1961","1418649","303432","64.5","64.55","188.671366375622","131.309853872919","65936","46722"
