"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"World","2019","1336530462","685205805","100","100","7.11609781323819","3.98199958927912","3.14662809574391","957328","546786","410541"
"Adhoc","2020","10779612","5736707","100","100","9.77006059193164","5.42391078918423","4.36985148737695","10657","6240","4417"
"World","2020","1347380672","688149030","100","100","6.93149346806277","3.86227340905039","3.08112018758292","939454","532592","406861"
"Adhoc","2021","11073079","5892250","100","100","10.450502700887","5.813591925783","4.6640255161865","11715","6871","4844"
"World","2021","1356763267","690145217","100","100","7.01504309564438","3.91076307573709","3.11646778705556","957004","540856","416147"
"Adhoc","2022","11185032","5942974","100","100","9.81196529293859","5.40854482958721","4.42736607122463","11098","6446","4652"
"World","2022","1363927904","689997298","100","100","7.15001739802656","3.99682035743727","3.16585037581995","980053","552663","427389"
"Adhoc","2023","11269812","5975279","100","100","10.0565588532119","5.54582574391336","4.53588835571315","11460","6646","4814"
"World","2023","1366807024","687024329","100","100","6.83767519593581","3.78897965456355","3.0602909214105","938317","521612","416704"
"Adhoc","2024","11514546","6091221","100","100","10.1713871533304","5.60626624877923","4.59085847949774","11840","6849","4991"
"World","2024","1365752679","682277775","100","100","6.65597439158405","3.67830086048487","2.98866674656489","911997","502849","409147"
