"Region","Year","Under.five.population","Infant.population","Population.coverage..under.5.","Population.coverage..age.0.","U5MR.median","IMR.median","CMR.median","Under.five.deaths.median","Infant.deaths.median","Child.deaths.median"
"World",2010,1239562506,629419560,100,100,8.50938315329874,5.03481593443523,3.49214954905848,2120763,1269024,851739
"Adhoc",2011,8749868,4662641,100,100,8.80409753582634,4.94309873992166,3.88017890335253,15546,9213,6333
"World",2011,1246028960,633155682,100,100,8.33754791968932,4.92159694472863,3.43284605963958,2088565,1247683,840883
"Adhoc",2012,9076613,4808203,100,100,8.2761799244977,4.6427032629956,3.65042449923589,15141,8921,6220
"World",2012,1254333494,638524239,100,100,7.85268185499854,4.59347729099713,3.27424473282684,1979719,1174056,805663
"Adhoc",2013,9305332,4906389,100,100,8.57576488420553,4.90094270715632,3.69292097115086,16098,9616,6482
"World",2013,1264590382,645333012,100,100,7.59711239018512,4.41471383811233,3.19651023001896,1931067,1140208,790859
"Adhoc",2014,9519038,5006935,100,100,8.58687667687552,4.95480508510032,3.65015741027305,16495,9924,6571
"World",2014,1276415597,653061883,100,100,7.47201039843792,4.32332171470624,3.16236058592244,1917414,1129873,787541
"Adhoc",2015,9795527,5149895,100,100,8.80517059614472,5.12963290247451,3.69448906634278,17417,10570,6847
"World",2015,1287914765,660738702,100,100,7.3224984107606,4.21341365333887,3.12224004626172,1896237,1113983,782253
"Adhoc",2016,9924478,5225463,100,100,8.7198086836322,5.07943852447751,3.65895559918452,17481,10621,6860
"World",2016,1298814884,667703800,100,100,7.14761871111425,4.09456854711008,3.06560248351107,1866686,1093839,772847
"Adhoc",2017,10100518,5336292,100,100,6.94040469666402,3.87158893376441,3.08074313392472,14105,8252,5853
"World",2017,1311300506,674733973,100,100,7.04016073978586,4.01936383332581,3.0329875870745,1856240,1085015,771225
"Adhoc",2018,10306060,5463919,100,100,7.14640187921312,3.98368970399779,3.17536183144973,14832,8698,6134
"World",2018,1324453104,680947810,100,100,6.68335412993615,3.78748375606061,2.90688013516826,1778734,1031591,747143
"Adhoc",2019,10532315,5597298,100,100,7.48865844008084,4.17275769542185,3.3297951730917,15892,9334,6558
"World",2019,1336530462,685205805,100,100,6.55495549097274,3.70956969933252,2.8559802494353,1759602,1016643,742958
"Adhoc",2020,10779612,5736707,100,100,8.7844683886481,4.97477661322911,3.82873889613766,19126,11418,7708
"World",2020,1347380672,688149030,100,100,6.36573258279172,3.58309213017734,2.79264676325413,1721340,986075,735264
"Adhoc",2021,11073079,5892250,100,100,9.48609958690905,5.37564339308715,4.132671964564,21234,12680,8554
"World",2021,1356763267,690145217,100,100,6.44715080811742,3.63173883566061,2.82567408276019,1754776,1002453,752322
"Adhoc",2022,11185032,5942974,100,100,8.87887885941785,4.93648617188002,3.96195080289,20036,11738,8298
"World",2022,1363927904,689997298,100,100,6.57884436311817,3.72521808426661,2.86429640762792,1799213,1028207,771005
"Adhoc",2023,11269812,5975279,100,100,9.14476416722121,5.07721701734909,4.08830435833224,20792,12140,8652
"World",2023,1366807024,687024329,100,100,6.2873817658452,3.52261404454524,2.77454135966071,1721265,967989,753275
"Adhoc",2024,11514546,6091221,100,100,9.26187990827265,5.13109089841742,4.15209378046161,21508,12506,9002
"World",2024,1365752679,682277775,100,100,6.09657052655355,3.40778808879986,2.69797657017348,1666301,929879,736421
