"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Adhoc","2015","3522600","1949826","100","100","31.8605875053505","14.7582840987507","17.3584848576529","11306","5798","5508"
"World","2015","587417500","293463481","100","100","8.59588093288788","3.97321456673758","4.6411064780145","507152","233663","273489"
"Adhoc","2016","3641451","2001564","100","100","32.9842702265585","15.26555572027","17.9933936597989","12113","6158","5955"
"World","2016","586469377","294841839","100","100","8.41616980090465","3.8811458545204","4.55269361433244","495454","229310","266144"
"Adhoc","2017","3766177","2056811","100","100","32.6251515415942","14.8920938472151","18.0011322451296","12382","6172","6210"
"World","2017","587405010","296465863","100","100","8.26440089413472","3.80495339932406","4.47648029372131","487099","226038","261061"
"Adhoc","2018","3889412","2111679","100","100","32.6598147964906","14.7039571178458","18.223819945649","12795","6256","6539"
"World","2018","589348548","298360157","100","100","8.05167003009477","3.70202049683475","4.36581185824454","475953","221317","254636"
"Adhoc","2019","4009128","2164291","100","100","32.1184647776488","14.4219455773388","17.9554720408993","12973","6288","6685"
"World","2019","591884670","300448013","100","100","7.93584737886477","3.64415767055854","4.30738650387427","470984","219376","251608"
"Adhoc","2020","4131837","2217688","100","100","31.4444068283565","14.0193423043393","17.6728259200756","13088","6262","6826"
"World","2020","594943929","302393688","100","100","7.80952850407679","3.56239647945247","4.26231608443779","465755","215834","249921"
"Adhoc","2021","4219256","2251555","100","100","31.1296942794679","13.6587947927637","17.712835471609","13226","6193","7033"
"World","2021","598663995","304493770","100","100","7.80436399039852","3.54326994531154","4.27624593880067","468292","216164","252128"
"Adhoc","2022","4258769","2259482","100","100","29.0527309404871","12.7201901190179","16.5429705520243","12455","5785","6670"
"World","2022","603035406","307270047","100","100","7.79504206913506","3.52407289483788","4.28607361013189","471030","216951","254079"
"Adhoc","2023","4321491","2282410","100","100","28.2297370318744","12.234060504059","16.1937923633792","12277","5619","6658"
"World","2023","608025874","310597424","100","100","7.6193766761703","3.41875039426058","4.21503643939875","463999","212735","251264"
"Adhoc","2024","4413909","2326735","100","100","27.6239270493335","11.8006728776146","16.0122090123214","12262","5524","6738"
"World","2024","613868682","314361690","100","100","7.43802057152232","3.30290123011491","4.1488224923208","457042","208005","249037"
