"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Small island developing States","1960","2285159","1206861","0.91","0.9",,,,,,
"Europe and Northern America","1960","59283993","28193669","0","0",,,,,,
"Northern America","1960","13610225","7369465","0","0",,,,,,
"Europe","1960","45673769","20824204","0","0",,,,,,
"Latin America and the Caribbean","1960","19281136","10377403","0","0",,,,,,
"Central and Southern Asia","1960","52232358","27001664","0","0",,,,,,
"Central Asia","1960","1864400","728161","0","0",,,,,,
"Southern Asia","1960","50367958","26273503","0","0",,,,,,
"Eastern and South-Eastern Asia","1960","82425585","42396862","0","0",,,,,,
"Eastern Asia","1960","62816779","32266025","0","0",,,,,,
"South-Eastern Asia","1960","19608806","10130837","0","0",,,,,,
"Northern Africa and Western Asia","1960","10915887","5603848","0","0",,,,,,
"Western Asia","1960","5554402","2780297","0","0",,,,,,
"Northern Africa","1960","5361485","2823551","0","0",,,,,,
"Sub-Saharan Africa","1960","20384100","10890753","11.32","11.4",,,,,,
"Oceania","1960","1118771","597167","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1960","254292","132610","0","0",,,,,,
"Australia and New Zealand","1960","864480","464557","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1960","60148473","28658226","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1960","19863097","10263447","0","0",,,,,,
"World","1960","245641829","125061364","0.9","1",,,,,,
"Least developed countries","1961","22980305","12324582","10.28","10.32",,,,,,
"Landlocked developing countries","1961","11882406","6042564","5.17","5.48",,,,,,
"Small island developing States","1961","2319127","1226757","0.9","0.88",,,,,,
"Europe and Northern America","1961","59279634","28092706","0","0",,,,,,
"Northern America","1961","14114804","7717751","0","0",,,,,,
"Europe","1961","45164830","20374955","0","0",,,,,,
"Latin America and the Caribbean","1961","19795736","10698073","0","0",,,,,,
"Central and Southern Asia","1961","52984323","27503400","8.09","8.46",,,,,,
"Central Asia","1961","1813542","697733","0","0",,,,,,
"Southern Asia","1961","51170782","26805668","8.38","8.68",,,,,,
"Eastern and South-Eastern Asia","1961","83233259","43072366","0","0",,,,,,
"Eastern Asia","1961","63393926","32804310","0","0",,,,,,
"South-Eastern Asia","1961","19839333","10268056","0","0",,,,,,
"Northern Africa and Western Asia","1961","11111101","5764265","0","0",,,,,,
"Western Asia","1961","5634355","2835903","0","0",,,,,,
"Northern Africa","1961","5476746","2928362","0","0",,,,,,
"Sub-Saharan Africa","1961","20868383","11174130","11.33","11.39",,,,,,
"Oceania","1961","1164568","627149","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1961","258406","135445","0","0",,,,,,
